wl_start_A,wl_end_A,value,uncertainty
8000.00,8250.00,0.116327,0.000772
8250.00,8500.00,0.117499,0.001021
8500.00,8750.00,0.117439,0.000940
8750.00,9000.00,0.117597,0.001338
9000.00,9250.00,0.117473,0.001331
9250.00,9500.00,0.118305,0.000801
9500.00,9750.00,0.116508,0.000883
9750.00,10000.00,0.117490,0.000919
10000.00,10250.00,0.117427,0.000850
10250.00,10500.00,0.118545,0.000915
10500.00,10750.00,0.117456,0.001000
10750.00,11000.00,0.118174,0.000594
11000.00,11250.00,0.119214,0.000466
11153.00,11372.00,0.117894,0.000689
11372.00,11583.00,0.118786,0.000845
11583.00,11789.00,0.118811,0.000887
11789.00,11987.00,0.117792,0.000771
11987.00,12180.00,0.116893,0.000932
12180.00,12370.00,0.117520,0.000897
12370.00,12559.00,0.117175,0.000650
12559.00,12751.00,0.117512,0.000790
12751.00,12944.00,0.119013,0.000780
12944.00,13132.00,0.117490,0.000816
13132.00,13320.00,0.118453,0.000971
13320.00,13509.00,0.118013,0.000765
13509.00,13701.00,0.118878,0.000717
13701.00,13900.00,0.120121,0.000995
13900.00,14100.00,0.120768,0.001002
14100.00,14303.00,0.119470,0.000865
14303.00,14509.00,0.119771,0.000800
14509.00,14721.00,0.117461,0.000970
14721.00,14941.00,0.118351,0.000776
14941.00,15165.00,0.118482,0.000924
15165.00,15395.00,0.117843,0.000809
15395.00,15636.00,0.116880,0.000661
15636.00,15889.00,0.118089,0.000722
15889.00,16153.00,0.117456,0.001005
16153.00,16436.00,0.117435,0.000928
