Wavelength_um,Transit_Depth_percent,Error_percent,Bandwidth_um,Instrument
0.37565,1.4065,0.0349,0.0513,VLT FORS2
0.7733,1.3685,0.0247,0.008,VLT FORS2
0.4053,1.3992,0.0417,0.008,VLT FORS2
0.7813,1.375,0.0218,0.008,VLT FORS2
0.4133,1.3844,0.038,0.008,VLT FORS2
0.7893,1.3739,0.0279,0.008,VLT FORS2
0.4213,1.4238,0.0386,0.008,VLT FORS2
0.7973,1.3628,0.0264,0.008,VLT FORS2
0.4293,1.4019,0.047,0.008,VLT FORS2
0.8125,1.3532,0.0179,0.0025,HST G102
0.4373,1.3705,0.0369,0.008,VLT FORS2
0.8375,1.3806,0.0239,0.0025,HST G102
0.4453,1.4125,0.0297,0.008,VLT FORS2
0.8625,1.3792,0.022,0.0025,HST G102
0.4533,1.4035,0.0282,0.008,VLT FORS2
0.8875,1.3829,0.0313,0.0025,HST G102
0.4613,1.4026,0.0287,0.008,VLT FORS2
0.9125,1.38,0.0311,0.0025,HST G102
0.4693,1.3796,0.0264,0.008,VLT FORS2
0.9375,1.3996,0.0189,0.0025,HST G102
0.4773,1.3617,0.0226,0.008,VLT FORS2
0.9625,1.3574,0.0205,0.0025,HST G102
0.4853,1.3712,0.0294,0.008,VLT FORS2
0.9875,1.3804,0.0215,0.0025,HST G102
0.4933,1.3976,0.0238,0.008,VLT FORS2
1.0125,1.3789,0.0199,0.0025,HST G102
0.5013,1.4001,0.0316,0.008,VLT FORS2
1.0375,1.4053,0.0216,0.0025,HST G102
0.5093,1.3716,0.0254,0.008,VLT FORS2
1.0625,1.3796,0.0234,0.0025,HST G102
0.5173,1.3698,0.0229,0.008,VLT FORS2
1.0875,1.3965,0.014,0.0025,HST G102
0.5253,1.3696,0.0217,0.008,VLT FORS2
1.1125,1.4212,0.0111,0.0025,HST G102
0.5333,1.3985,0.0204,0.008,VLT FORS2
1.12625,1.3899,0.0162,0.0219,HST G141
0.5413,1.3805,0.0216,0.008,VLT FORS2
1.14775,1.411,0.02,0.0211,HST G141
0.5493,1.3796,0.0202,0.008,VLT FORS2
1.1686,1.4116,0.021,0.0206,HST G141
0.5573,1.3707,0.0231,0.008,VLT FORS2
1.1888,1.3875,0.0181,0.0198,HST G141
0.5653,1.4208,0.0219,0.008,VLT FORS2
1.20835,1.3664,0.0217,0.0193,HST G141
0.5733,1.4111,0.0218,0.008,VLT FORS2
1.2275,1.3811,0.021,0.019,HST G141
0.5813,1.4468,0.0196,0.008,VLT FORS2
1.24645,1.373,0.0152,0.0189,HST G141
0.5893,1.4542,0.0215,0.008,VLT FORS2
1.2655,1.3809,0.0185,0.0192,HST G141
0.5973,1.4456,0.02,0.008,VLT FORS2
1.28475,1.4164,0.0185,0.0193,HST G141
0.6053,1.4361,0.02,0.008,VLT FORS2
1.3038,1.3804,0.0191,0.0188,HST G141
0.6133,1.4217,0.0187,0.008,VLT FORS2
1.3226,1.4031,0.0229,0.0188,HST G141
0.6213,1.4084,0.0221,0.008,VLT FORS2
1.34145,1.3927,0.018,0.0189,HST G141
0.6293,1.4456,0.0231,0.008,VLT FORS2
1.3605,1.4132,0.017,0.0192,HST G141
0.6373,1.4015,0.022,0.008,VLT FORS2
1.38005,1.4429,0.0238,0.0199,HST G141
0.6453,1.4111,0.0209,0.008,VLT FORS2
1.4,1.4585,0.0241,0.02,HST G141
0.6533,1.4236,0.0231,0.008,VLT FORS2
1.42015,1.4273,0.0206,0.0203,HST G141
0.6613,1.3621,0.0201,0.008,VLT FORS2
1.4406,1.4345,0.0191,0.0206,HST G141
0.6693,1.4187,0.0187,0.008,VLT FORS2
1.4615,1.3797,0.0227,0.0212,HST G141
0.6773,1.398,0.0268,0.008,VLT FORS2
1.4831,1.4007,0.0183,0.022,HST G141
0.6893,1.3408,0.0175,0.016,VLT FORS2
1.5053,1.4038,0.0218,0.0224,HST G141
0.7013,1.3682,0.0204,0.008,VLT FORS2
1.528,1.3887,0.019,0.023,HST G141
0.7093,1.4074,0.022,0.008,VLT FORS2
1.55155,1.3661,0.0154,0.0241,HST G141
0.7173,1.3948,0.0194,0.008,VLT FORS2
1.57625,1.3945,0.017,0.0253,HST G141
0.7253,1.4029,0.0222,0.008,VLT FORS2
1.6021,1.3796,0.0235,0.0264,HST G141
0.7333,1.428,0.0218,0.008,VLT FORS2
1.62945,1.3791,0.0217,0.0283,HST G141
0.7413,1.3787,0.0184,0.008,VLT FORS2
0.8,1.3803,0.0346,0.4,TESS
0.7493,1.3896,0.0219,0.008,VLT FORS2
3.6,1.4796,0.086,0.75,Spitzer IRAC
0.7613,1.4052,0.0172,0.016,VLT FORS2
4.5,1.4861,0.0538,1.015,Spitzer IRAC
