planetname,ra_str,ra,dec_str,dec,obsname,ploturl_dl,reflink,algorithm,isdefault,ismostprecise,hasmoreprecise,eccenwarning,phase,period,transitduration,transitdepthdb,transitdepthcalc,ttv,midpointcalendar,propmidpointunc,midpointairmass,targetobsstartcalendar,targetobsendcalendar,fractionobservable,magnitude_visible,magnitude_k
KELT-20 b,19h38m38.74s,294.6614126,31d13m09.12s,31.2192001,Mauna Kea,,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,Transit Ephemeris (Circular Orbit),0,1,0,0,0.560000,3.47410120000,3.3170000,1.57480000,1.45180703,0,09/22/2026 05:34,0.00010950,1.023610,09/22/2026 05:06,09/22/2026 11:11,0.640,7.5900000,7.4150000
KELT-20 b,19h38m38.74s,294.6614126,31d13m09.12s,31.2192001,Mauna Kea,,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,Transit Ephemeris (Circular Orbit),0,1,0,0,0.560000,3.47410120000,3.3170000,1.57480000,1.45180703,0,09/15/2026 06:49,0.00010910,1.024800,09/15/2026 05:13,09/15/2026 11:38,0.981,7.5900000,7.4150000
KELT-20 b,19h38m38.74s,294.6614126,31d13m09.12s,31.2192001,Mauna Kea,,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,Transit Ephemeris (Circular Orbit),0,1,0,0,0.560000,3.47410120000,3.3170000,1.57480000,1.45180703,0,09/08/2026 08:03,0.00010870,1.062770,09/08/2026 05:20,09/08/2026 12:06,1.000,7.5900000,7.4150000
KELT-20 b,19h38m38.74s,294.6614126,31d13m09.12s,31.2192001,Mauna Kea,,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,Transit Ephemeris (Circular Orbit),0,1,0,0,0.560000,3.47410120000,3.3170000,1.57480000,1.45180703,0,09/01/2026 09:18,0.00010830,1.144420,09/01/2026 05:26,09/01/2026 12:33,1.000,7.5900000,7.4150000
KELT-20 b,19h38m38.74s,294.6614126,31d13m09.12s,31.2192001,Mauna Kea,,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,Transit Ephemeris (Circular Orbit),0,1,0,0,0.560000,3.47410120000,3.3170000,1.57480000,1.45180703,0,08/25/2026 10:32,0.00010790,1.286590,08/25/2026 05:33,08/25/2026 13:01,1.000,7.5900000,7.4150000
KELT-20 b,19h38m38.74s,294.6614126,31d13m09.12s,31.2192001,Mauna Kea,,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,Transit Ephemeris (Circular Orbit),0,1,0,0,0.560000,3.47410120000,3.3170000,1.57480000,1.45180703,0,08/18/2026 11:47,0.00010750,1.525780,08/18/2026 05:39,08/18/2026 13:28,1.000,7.5900000,7.4150000
KELT-20 b,19h38m38.74s,294.6614126,31d13m09.12s,31.2192001,Mauna Kea,,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,Transit Ephemeris (Circular Orbit),0,1,0,0,0.560000,3.47410120000,3.3170000,1.57480000,1.45180703,0,11/27/2026 05:45,0.00011330,1.819260,11/27/2026 04:32,11/27/2026 06:51,0.700,7.5900000,7.4150000
KELT-20 b,19h38m38.74s,294.6614126,31d13m09.12s,31.2192001,Mauna Kea,,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,Transit Ephemeris (Circular Orbit),0,1,0,0,0.560000,3.47410120000,3.3170000,1.57480000,1.45180703,0,08/11/2026 13:02,0.00010710,1.947310,08/11/2026 05:45,08/11/2026 13:56,0.773,7.5900000,7.4150000
KELT-20 b,19h38m38.74s,294.6614126,31d13m09.12s,31.2192001,Mauna Kea,,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,Transit Ephemeris (Circular Orbit),0,1,0,0,0.560000,3.47410120000,3.3170000,1.57480000,1.45180703,0,11/20/2026 07:00,0.00011290,2.520300,11/20/2026 04:32,11/20/2026 07:19,0.594,7.5900000,7.4150000
KELT-20 b,19h38m38.74s,294.6614126,31d13m09.12s,31.2192001,Mauna Kea,,<a refstr=EXOFOP href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP</a>,Transit Ephemeris (Circular Orbit),0,1,0,0,0.560000,3.47410120000,3.3170000,1.57480000,1.45180703,0,08/04/2026 14:16,0.00010670,2.793920,08/04/2026 05:49,08/04/2026 14:23,0.536,7.5900000,7.4150000
